NAMESPACE                LAST SEEN             TYPE      REASON                         OBJECT                                                             MESSAGE
preprod-plt-25-03-2026   53m                   Normal    SuccessfulCreate               ReplicaSet/django-deployment-7d54f6d9fb                            Created pod: django-deployment-7d54f6d9fb-wqxsw
preprod-plt-25-03-2026   53m (x26 over 58m)    Normal    Pulled                         Pod/django-deployment-7d54f6d9fb-vj6xk                             Container image "plt/app-rocket-plt-25-03-2026:v1" already present on machine and can be accessed by the pod
preprod-plt-25-03-2026   53m                   Normal    Pulled                         Pod/django-deployment-7d54f6d9fb-wqxsw                             Container image "plt/app-rocket-plt-25-03-2026:v1" already present on machine and can be accessed by the pod
preprod-plt-25-03-2026   53m                   Normal    ScalingReplicaSet              Deployment/django-deployment                                       Scaled up replica set django-deployment-7d54f6d9fb from 1 to 2
preprod-plt-25-03-2026   53m                   Normal    ScalingReplicaSet              Deployment/django-deployment                                       Scaled down replica set django-deployment-575d9bdf9c from 3 to 2
preprod-plt-25-03-2026   53m                   Normal    Created                        Pod/django-deployment-7d54f6d9fb-wqxsw                             Container created
preprod-plt-25-03-2026   53m                   Normal    Scheduled                      Pod/django-deployment-7d54f6d9fb-wqxsw                             Successfully assigned preprod-plt-25-03-2026/django-deployment-7d54f6d9fb-wqxsw to minikube
preprod-plt-25-03-2026   53m                   Normal    SuccessfulDelete               ReplicaSet/django-deployment-575d9bdf9c                            Deleted pod: django-deployment-575d9bdf9c-jrjrd
preprod-plt-25-03-2026   53m                   Normal    Started                        Pod/django-deployment-7d54f6d9fb-wqxsw                             Container started
preprod-plt-25-03-2026   53m                   Normal    SuccessfulCreate               ReplicaSet/django-deployment-7d54f6d9fb                            Created pod: django-deployment-7d54f6d9fb-v52vp
preprod-plt-25-03-2026   53m                   Normal    ScalingReplicaSet              Deployment/django-deployment                                       Scaled down replica set django-deployment-575d9bdf9c from 2 to 1
preprod-plt-25-03-2026   53m                   Normal    ScalingReplicaSet              Deployment/django-deployment                                       Scaled up replica set django-deployment-7d54f6d9fb from 2 to 3
preprod-plt-25-03-2026   53m                   Normal    Scheduled                      Pod/django-deployment-7d54f6d9fb-v52vp                             Successfully assigned preprod-plt-25-03-2026/django-deployment-7d54f6d9fb-v52vp to minikube
preprod-plt-25-03-2026   53m                   Normal    ScalingReplicaSet              Deployment/django-deployment                                       Scaled down replica set django-deployment-575d9bdf9c from 1 to 0
preprod-plt-25-03-2026   53m                   Normal    Started                        Pod/django-deployment-7d54f6d9fb-v52vp                             Container started
preprod-plt-25-03-2026   53m                   Normal    Created                        Pod/django-deployment-7d54f6d9fb-v52vp                             Container created
preprod-plt-25-03-2026   53m                   Normal    Pulled                         Pod/django-deployment-7d54f6d9fb-v52vp                             Container image "plt/app-rocket-plt-25-03-2026:v1" already present on machine and can be accessed by the pod
preprod-plt-25-03-2026   53m                   Normal    SuccessfulDelete               ReplicaSet/django-deployment-575d9bdf9c                            Deleted pod: django-deployment-575d9bdf9c-hkm5m
preprod-plt-25-03-2026   53m                   Normal    SuccessfulCreate               ReplicaSet/django-deployment-5478c69b4d                            Created pod: django-deployment-5478c69b4d-dl84n
preprod-plt-25-03-2026   53m                   Normal    ScalingReplicaSet              Deployment/django-deployment                                       Scaled up replica set django-deployment-5478c69b4d from 0 to 1
preprod-plt-25-03-2026   53m                   Normal    Scheduled                      Pod/django-deployment-5478c69b4d-dl84n                             Successfully assigned preprod-plt-25-03-2026/django-deployment-5478c69b4d-dl84n to minikube
preprod-plt-25-03-2026   53m                   Normal    ScalingReplicaSet              Deployment/django-deployment                                       Scaled down replica set django-deployment-7d54f6d9fb from 3 to 2
preprod-plt-25-03-2026   53m                   Normal    SuccessfulDelete               ReplicaSet/django-deployment-7d54f6d9fb                            Deleted pod: django-deployment-7d54f6d9fb-v52vp
preprod-plt-25-03-2026   53m                   Normal    Pulled                         Pod/django-deployment-5478c69b4d-dl84n                             Container image "plt/app-rocket-plt-25-03-2026:v1" already present on machine and can be accessed by the pod
preprod-plt-25-03-2026   53m                   Normal    ScalingReplicaSet              Deployment/django-deployment                                       Scaled up replica set django-deployment-5478c69b4d from 1 to 2
preprod-plt-25-03-2026   53m                   Normal    Started                        Pod/django-deployment-5478c69b4d-dl84n                             Container started
preprod-plt-25-03-2026   53m                   Normal    SuccessfulCreate               ReplicaSet/django-deployment-5478c69b4d                            Created pod: django-deployment-5478c69b4d-c94f7
preprod-plt-25-03-2026   53m                   Normal    Created                        Pod/django-deployment-5478c69b4d-dl84n                             Container created
preprod-plt-25-03-2026   53m                   Normal    Killing                        Pod/django-deployment-7d54f6d9fb-v52vp                             Stopping container django-random
preprod-plt-25-03-2026   53m                   Normal    Scheduled                      Pod/django-deployment-5478c69b4d-c94f7                             Successfully assigned preprod-plt-25-03-2026/django-deployment-5478c69b4d-c94f7 to minikube
preprod-plt-25-03-2026   53m                   Normal    Killing                        Pod/django-deployment-7d54f6d9fb-wqxsw                             Stopping container django-random
preprod-plt-25-03-2026   53m                   Normal    Pulled                         Pod/django-deployment-5478c69b4d-c94f7                             Container image "plt/app-rocket-plt-25-03-2026:v1" already present on machine and can be accessed by the pod
preprod-plt-25-03-2026   53m                   Normal    Created                        Pod/django-deployment-5478c69b4d-c94f7                             Container created
preprod-plt-25-03-2026   53m                   Normal    Started                        Pod/django-deployment-5478c69b4d-c94f7                             Container started
preprod-plt-25-03-2026   53m                   Normal    SuccessfulDelete               ReplicaSet/django-deployment-7d54f6d9fb                            Deleted pod: django-deployment-7d54f6d9fb-wqxsw
preprod-plt-25-03-2026   53m                   Normal    SuccessfulCreate               ReplicaSet/django-deployment-5478c69b4d                            Created pod: django-deployment-5478c69b4d-hfnj7
preprod-plt-25-03-2026   53m                   Normal    Scheduled                      Pod/django-deployment-5478c69b4d-hfnj7                             Successfully assigned preprod-plt-25-03-2026/django-deployment-5478c69b4d-hfnj7 to minikube
preprod-plt-25-03-2026   53m (x3 over 53m)     Normal    ScalingReplicaSet              Deployment/django-deployment                                       (combined from similar events): Scaled down replica set django-deployment-7d54f6d9fb from 1 to 0
preprod-plt-25-03-2026   53m                   Normal    Created                        Pod/django-deployment-5478c69b4d-hfnj7                             Container created
preprod-plt-25-03-2026   53m                   Normal    Pulled                         Pod/django-deployment-5478c69b4d-hfnj7                             Container image "plt/app-rocket-plt-25-03-2026:v1" already present on machine and can be accessed by the pod
preprod-plt-25-03-2026   53m                   Normal    Started                        Pod/django-deployment-5478c69b4d-hfnj7                             Container started
preprod-plt-25-03-2026   53m                   Normal    SuccessfulDelete               ReplicaSet/django-deployment-7d54f6d9fb                            Deleted pod: django-deployment-7d54f6d9fb-vj6xk
preprod-plt-25-03-2026   46m (x34 over 57m)    Warning   FailedGetResourceMetric        HorizontalPodAutoscaler/hpa-django-dashboard-plt-25-03-2026        failed to get cpu utilization: missing request for cpu in container container-django-dashboard-plt-25-03-2026 of Pod django-dashboard-deployment-plt-25-03-2026-6dc65499d8-2j8vz
dev-plt-25-03-2026       45m                   Normal    ScalingReplicaSet              Deployment/django-dashboard-deployment-plt-25-03-2026              Scaled up replica set django-dashboard-deployment-plt-25-03-2026-d74987868 from 1 to 3
dev-plt-25-03-2026       45m                   Normal    ScalingReplicaSet              Deployment/django-dashboard-deployment-plt-25-03-2026              Scaled up replica set django-dashboard-deployment-plt-25-03-2026-6b67ff4f86 from 0 to 1
dev-plt-25-03-2026       45m                   Normal    SuccessfulCreate               ReplicaSet/django-dashboard-deployment-plt-25-03-2026-d74987868    Created pod: django-dashboard-deployment-plt-25-03-2026-d74987868-b7p25
dev-plt-25-03-2026       45m                   Normal    SuccessfulCreate               ReplicaSet/django-dashboard-deployment-plt-25-03-2026-6b67ff4f86   Created pod: django-dashboard-deployment-plt-25-03-2026-6b67ff4f86-xz9zr
dev-plt-25-03-2026       45m                   Normal    SuccessfulCreate               ReplicaSet/django-dashboard-deployment-plt-25-03-2026-d74987868    Created pod: django-dashboard-deployment-plt-25-03-2026-d74987868-6zshx
dev-plt-25-03-2026       45m                   Normal    Scheduled                      Pod/django-dashboard-deployment-plt-25-03-2026-d74987868-b7p25     Successfully assigned dev-plt-25-03-2026/django-dashboard-deployment-plt-25-03-2026-d74987868-b7p25 to minikube
dev-plt-25-03-2026       45m                   Normal    Scheduled                      Pod/django-dashboard-deployment-plt-25-03-2026-d74987868-6zshx     Successfully assigned dev-plt-25-03-2026/django-dashboard-deployment-plt-25-03-2026-d74987868-6zshx to minikube
dev-plt-25-03-2026       45m                   Normal    Scheduled                      Pod/django-dashboard-deployment-plt-25-03-2026-6b67ff4f86-xz9zr    Successfully assigned dev-plt-25-03-2026/django-dashboard-deployment-plt-25-03-2026-6b67ff4f86-xz9zr to minikube
dev-plt-25-03-2026       45m                   Normal    Pulled                         Pod/django-dashboard-deployment-plt-25-03-2026-d74987868-6zshx     Container image "plt/app-django-plt-25-03-2026:v1" already present on machine and can be accessed by the pod
dev-plt-25-03-2026       45m                   Normal    Created                        Pod/django-dashboard-deployment-plt-25-03-2026-d74987868-6zshx     Container created
dev-plt-25-03-2026       45m                   Normal    Started                        Pod/django-dashboard-deployment-plt-25-03-2026-d74987868-6zshx     Container started
dev-plt-25-03-2026       45m                   Normal    ScalingReplicaSet              Deployment/django-dashboard-deployment-plt-25-03-2026              Scaled down replica set django-dashboard-deployment-plt-25-03-2026-d74987868 from 3 to 2
dev-plt-25-03-2026       45m                   Normal    SuccessfulDelete               ReplicaSet/django-dashboard-deployment-plt-25-03-2026-d74987868    Deleted pod: django-dashboard-deployment-plt-25-03-2026-d74987868-b7p25
dev-plt-25-03-2026       45m                   Normal    Started                        Pod/django-dashboard-deployment-plt-25-03-2026-d74987868-b7p25     Container started
dev-plt-25-03-2026       45m                   Normal    Pulled                         Pod/django-dashboard-deployment-plt-25-03-2026-d74987868-b7p25     Container image "plt/app-django-plt-25-03-2026:v1" already present on machine and can be accessed by the pod
dev-plt-25-03-2026       45m                   Normal    Started                        Pod/django-dashboard-deployment-plt-25-03-2026-6b67ff4f86-xz9zr    Container started
